,BEDROOMS,NCOMBATH,NHAFBATH,OTHROOMS,TOTROOMS,DOOR1SUM,UGASHERE,MONPOOL,RECBATH,MONTUB,FUELTUB,HEATHOME,DNTHEAT,THERMAIN,PROTHERM,EQUIPMUSE,TEMPHOME,TEMPGONE,TEMPNITE,EQUIPAUX,EQUIPAUXTYPE,FUELAUX,ATTCHEAT,GARGHEAT,MOISTURE,USEMOISTURE,AIRCOND,COOLTYPE,CENACHP,AGECENAC,THERMAINAC,PROTHERMAC,USECENAC,NUMBERAC,WWACAGE,USEWWAC,TEMPGONEAC,TEMPNITEAC,ATTCCOOL,GARGCOOL,NUMCFAN,NUMFLOORFAN,NUMWHOLEFAN,NUMATTICFAN,NOTMOIST,USENOTMOIST,H2OHEATAPT,WHEATAGE,WHEATSIZ,MORETHAN1H2O,FUELH2O2,LGTINNUM,LGTIN4,LGTINCAN,LGTINCFL,LGTINLED,LGTINCNTL,LGTOUTNUM,LGTOUTCNTL,AUDIT,AUDITCHG,EELIGHTS,FREEAUDIT,REBATEAPP,RECYCAPP,TAXCREDITAPP,BENOTHER,ESCWASH,ESDISHW,ESDRYER,ESFREEZE,ESFRIG,ESLIGHT,ESWATER,ESWIN,SMARTTHERM,ELPAY,NGPAY,LPGPAY,FOPAY,SMARTMETER,INTDATA,INTDATAACC,HHSEX,HHAGE,EMPLOYHH,SDESCENT,HOUSEHOLDER_RACE,EDUCATION,NHSLDMEM,NUMADULT,NUMCHILD,ATHOME,MONEYPY,ENERGYASST,ENERGYASST11,ENERGYASST12,ENERGYASST13,ENERGYASST14,ENERGYASST15,ENERGYASSTOTH,SCALEB,SCALEG,SCALEE,PAYHELP,NOHEATBROKE,NOHEATEL,NOHEATNG,NOHEATBULK,NOHEATDAYS,NOHEATHELP,COLDMA,NOACBROKE,NOACEL,NOACDAYS,NOACHELP,HOTMA,USEEL,ELWARM,ELCOOL,ELWATER,ELFOOD,ELOTHER,USENG,UGWARM,UGWATER,UGCOOK,UGOTH,USELP,LPWARM,LPWATER,LPCOOK,LPOTHER,USEFO,FOWARM,FOWATER,FOOTHER,USEWOOD,WOODLOGS,WDPELLET,WDOTHER,WDWARM,WDWATER,USESOLAR,SOLWATER,SOLOTHER,TOTCSQFT,TOTHSQFT,TOTSQFT_EN,TOTUCSQFT,TOTUSQFT,CDD80,DBT1,ZWOODAMT,ZPELLETAMT,ZELAMOUNT,ZNGAMOUNT,ZFOAMOUNT,ZLPAMOUNT,REL_TOTALBTU,STUDIO_Yes,SWIMPOOL_Yes,ATTICFIN_Yes,BASEHEAT_Yes,CLIMATE_REGION_PUB_Cold/Very Cold,CLIMATE_REGION_PUB_Hot-Dry/Mixed-Dry,CLIMATE_REGION_PUB_Hot-Humid,CLIMATE_REGION_PUB_Marine,CLIMATE_REGION_PUB_Mixed-Humid,WINFRAME_Composite,WINFRAME_Fiberglass,WINFRAME_Metal (aluminum),WINFRAME_Vinyl,WINFRAME_Wood,IECC_CLIMATE_PUB_1A-2A,IECC_CLIMATE_PUB_2B,IECC_CLIMATE_PUB_3A,IECC_CLIMATE_PUB_3B-4B,IECC_CLIMATE_PUB_3C,IECC_CLIMATE_PUB_4A,IECC_CLIMATE_PUB_4C,IECC_CLIMATE_PUB_5A,IECC_CLIMATE_PUB_5B-5C,IECC_CLIMATE_PUB_6A-6B,IECC_CLIMATE_PUB_7A-7B-7AK-8AK,STORIES_Four or more stories,STORIES_One story,STORIES_Split-level,STORIES_Three stories,STORIES_Two stories,POOL_Yes,TYPEGLASS_Double-pane glass,TYPEGLASS_Single-pane glass,TYPEGLASS_Triple-pane glass,KOWNRENT_Occupied without payment of rent,KOWNRENT_Owned or being bought by someone in your household,KOWNRENT_Rented,ADQINSUL_Adequately insulated,ADQINSUL_Not insulated,ADQINSUL_Poorly insulated,ADQINSUL_Well insulated,"EQUIPM_Built-in electric units installed in walls, ceilings, baseboards, or floors",EQUIPM_Built-in floor/wall pipeless furnace,"EQUIPM_Built-in room heater burning gas, oil, or kerosene",EQUIPM_Central furnace,EQUIPM_Fireplace,EQUIPM_Heat pump,EQUIPM_Portable electric heaters,EQUIPM_Some other equipment,EQUIPM_Steam/hot water system with radiators or pipes,EQUIPM_Wood-burning stove (cordwood or pellets),DIVISION_ Pacific ,DIVISION_East North Central,DIVISION_East South Central,DIVISION_Middle Atlantic,DIVISION_Mountain North,DIVISION_Mountain South,DIVISION_New England,DIVISION_South Atlantic,DIVISION_West North Central,DIVISION_West South Central,FUELHEAT_Electricity,FUELHEAT_Fuel oil/kerosene,FUELHEAT_Natural gas from underground pipes,FUELHEAT_Not Applicable,FUELHEAT_Propane (bottled gas),FUELHEAT_Some other fuel,FUELHEAT_Wood (cordwood or pellets),HIGHCEIL_Yes,METROMICRO_METRO,METROMICRO_MICRO,METROMICRO_NONE,BASECOOL_Yes,YEARMADERANGE_1950 to 1959,YEARMADERANGE_1960 to 1969,YEARMADERANGE_1970 to 1979,YEARMADERANGE_1980 to 1989,YEARMADERANGE_1990 to 1999,YEARMADERANGE_2000 to 2009,YEARMADERANGE_2010 to 2015,YEARMADERANGE_Before 1950,PRKGPLC1_Yes,SIZEOFGARAGE_One-car garage,SIZEOFGARAGE_Three-or-more-car garage,SIZEOFGARAGE_Two-car garage,REGIONC_Midwest,REGIONC_Northeast,REGIONC_South,REGIONC_West,ROOFTYPE_Ceramic or clay tiles,ROOFTYPE_Concrete tiles,ROOFTYPE_Metal,ROOFTYPE_Other,ROOFTYPE_Shingles (composition or asphalt)) ,ROOFTYPE_Slate or synthetic shake,ROOFTYPE_Wood shingles/shakes,WALLTYPE_0ther,WALLTYPE_Brick,WALLTYPE_Concrete or concrete block,WALLTYPE_Shingle (composition),WALLTYPE_Siding,WALLTYPE_Stone,WALLTYPE_Stucco,WALLTYPE_Wood,CELLAR_Yes,OCCUPYYRANGE_1950 to 1959,OCCUPYYRANGE_1960 to 1969,OCCUPYYRANGE_1970 to 1979,OCCUPYYRANGE_1980 to 1989,OCCUPYYRANGE_1990 to 1999,OCCUPYYRANGE_2000 to 2009,OCCUPYYRANGE_2010 to 2015,OCCUPYYRANGE_Before 1950,FUELH2O_Electricity,FUELH2O_Fuel oil/kerosene,FUELH2O_Natural gas from underground pipes,FUELH2O_Propane (bottled gas),FUELH2O_Solar,FUELH2O_Some other fuel,FUELH2O_Wood (cordwood or pellets) ,BASEFIN_Yes,EQUIPAGE_10 to 14 years old,EQUIPAGE_15 to 19 years old,EQUIPAGE_2 to 4 years old,EQUIPAGE_20 years old,EQUIPAGE_5 to 9 years old,EQUIPAGE_Less than 2 years old,DRAFTY_All the time,DRAFTY_Most of the time,DRAFTY_Never,DRAFTY_Some of the time,UATYP10_C,UATYP10_R,UATYP10_U,WINDOWS_50,WINDOWS_ 30 or more,WINDOWS_1 to 2,WINDOWS_10 to 15,"WINDOWS_16 to 19, 50:20 to 29",WINDOWS_3 to 5,WINDOWS_6 to 9,FUELPOOL_Electricity,FUELPOOL_Fuel oil/kerosene,FUELPOOL_Natural gas from underground pipes,FUELPOOL_Propane (bottled gas),FUELPOOL_Solar,ATTIC_Yes,TYPEHUQ_Apartment in a building with 2 to 4 units,TYPEHUQ_Apartment in a building with 5 or more units,TYPEHUQ_Mobile home,TYPEHUQ_Single-family detached house,TYPEHUQ_single- family attached house
2445,3,1,1,3,6,1,1,-2,0,-2,-2,1,-2,1,1,3,67,62,62,0,-2,-2,0,-2,1,3,1,1,0,3,1,1,3,-2,-2,-2,80,77,0,-2,4,0,0,0,0,-2,-2,3,3,0,-2,3,12,4,0,2,0,1,1,1,-9,0,1,0,0,0,0,0,-2,0,-2,0,1,1,0,0,1,1,-2,-2,-9,-9,-9,1,47,1,0,1,4,2,2,0,1,2,1,0,0,0,0,0,1,3,0,0,-2,0,0,0,0,-2,-2,0,0,0,-2,-2,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,1738,1738,2317,579,579,67,89.5,-2,-2,0,0,-2,-2,136807.73599999998,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
2446,1,1,0,1,2,0,1,-2,0,-2,-2,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,3,-2,-2,0,-2,2,41,-2,-2,-2,2,2,4,2,0,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,0,0,-2,1,1,-2,-2,0,-2,-2,1,62,2,0,1,5,2,2,0,5,2,1,1,1,1,1,1,0,0,2,0,-2,0,0,0,0,-2,-2,0,0,0,-2,-2,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,0,0,538,538,538,46,80.2,-2,-2,0,1,-2,-2,9821.64,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2447,4,2,0,2,6,0,1,-2,0,-2,-2,1,-2,1,1,3,68,65,65,1,1,5,0,-2,0,-2,1,1,0,41,1,1,3,-2,-2,-2,72,76,0,-2,7,1,0,1,0,-2,-2,41,2,0,-2,1,1,4,4,0,1,1,0,0,-2,0,0,0,0,0,0,1,1,1,-2,0,0,0,0,0,1,1,-2,-2,-9,-9,-9,1,62,1,0,1,3,2,2,0,1,3,0,-2,-2,-2,-2,-2,-2,2,0,0,-2,0,0,0,0,-2,-2,0,0,0,-2,-2,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,1230,1230,2460,1230,1230,46,89.4,-2,-2,0,0,-2,-2,121950.482,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
2448,3,1,0,2,5,1,1,-2,0,-2,-2,1,-2,1,1,2,68,65,60,1,3,1,-2,0,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,0,0,0,-2,-2,42,2,0,-2,1,2,1,0,0,1,2,1,0,-2,0,0,0,0,0,0,0,0,0,-2,0,0,1,0,0,1,1,-2,-2,0,-2,-2,1,70,0,0,1,2,1,1,0,2,2,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,0,0,0,0,-2,-2,0,0,0,-2,-2,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,0,1339,1339,1739,400,0,88.0,-2,-2,0,0,-2,-2,49111.448000000004,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2449,4,2,0,4,8,1,1,-2,0,-2,-2,1,-2,1,0,4,68,55,60,1,1,5,-2,0,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,-2,-2,41,2,0,-2,2,3,0,2,0,0,1,0,0,-2,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,-2,-2,0,-2,-2,1,67,0,0,4,3,2,2,0,3,6,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,0,0,0,0,-2,-2,0,0,0,-2,-2,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,0,2620,2620,3020,400,42,78.1,-2,-2,0,0,-2,-2,32576.912999999997,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2450,4,2,0,5,9,0,1,-2,0,-2,-2,1,-2,1,1,3,72,65,62,1,9,5,-2,0,0,-2,1,1,0,1,1,1,2,-2,-2,-2,80,70,-2,0,5,0,0,0,0,-2,-2,2,3,1,1,2,2,3,4,4,1,2,0,0,-2,-8,-8,-8,-8,-8,-8,1,1,1,0,1,0,1,1,0,1,1,-2,-2,-9,-9,-9,2,69,0,0,1,4,2,2,0,5,5,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,0,0,0,0,-2,-2,0,0,0,-2,-2,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,2704,2704,2704,400,400,47,92.9,-2,-2,0,0,-2,-2,66514.334,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
2451,3,2,0,4,7,1,1,-2,0,-2,-2,1,-2,1,1,1,72,65,62,1,1,5,-2,0,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,2,0,0,0,-2,-2,3,3,0,-2,1,4,3,3,0,0,1,0,0,-2,1,0,0,0,0,0,-9,-2,-9,-2,-9,-9,-9,-9,0,1,1,-2,-2,-9,-9,-9,2,70,0,1,1,3,1,1,0,5,1,1,1,1,1,1,1,0,0,0,0,-2,0,0,0,0,-2,-2,0,0,0,-2,-2,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,0,1140,1140,1390,250,98,80.2,-2,-2,0,0,-2,-2,7092.835000000001,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2452,3,2,1,3,6,1,0,-2,0,-2,-2,1,-2,1,0,1,67,67,67,0,-2,-2,0,0,1,4,1,1,1,41,1,0,1,-2,-2,-2,72,72,0,0,2,0,0,0,0,-2,-2,1,3,0,-2,2,0,4,3,4,0,2,0,0,-2,0,0,1,0,0,0,0,0,0,-2,0,1,1,0,0,1,-2,-2,-2,0,-2,-2,1,63,0,0,1,3,2,2,0,5,2,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,0,0,0,0,-2,-2,0,0,0,-2,-2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,807,807,1232,825,825,15,90.0,-2,-2,0,-2,-2,-2,43901.143000000004,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
2453,4,2,0,4,8,0,0,-2,1,3,2,1,-2,1,0,2,65,60,60,0,-2,-2,-2,-2,0,-2,1,2,-2,-2,-2,-2,-2,1,1,1,86,75,-2,-2,2,2,0,0,0,-2,-2,41,2,0,-2,3,2,1,0,0,1,2,1,0,-2,0,0,0,0,0,0,-9,-9,-9,-9,-9,-9,-9,-9,0,1,-2,1,-2,0,-2,-2,1,53,0,0,1,2,2,2,0,5,3,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,0,0,0,0,-2,-2,0,1,0,360,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,203,1625,1625,1422,0,0,89.9,-2,-2,0,-2,-2,1,52353.573,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2454,3,1,0,3,6,0,0,-2,0,-2,-2,1,-2,1,0,1,72,72,72,1,2,7,-2,-2,0,-2,1,1,0,3,1,0,1,-2,-2,-2,70,70,-2,-2,1,1,0,0,1,2,-2,2,2,0,-2,2,10,0,2,0,0,1,0,0,-2,0,0,0,0,0,0,-8,-2,-8,-8,-8,-8,-8,-8,0,1,-2,1,-2,1,-9,-9,2,21,1,0,1,1,2,2,0,5,3,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,0,0,0,0,-2,-2,0,0,0,-2,-2,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1120,1120,1456,336,336,107,94.7,1,1,0,-2,-2,1,61111.776,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2455,2,1,0,2,4,0,1,-2,0,-2,-2,1,-2,1,0,4,72,72,72,1,1,5,-2,-2,0,-2,1,2,-2,-2,-2,-2,-2,2,2,4,65,65,-2,-2,2,1,-2,-2,0,-2,1,5,1,0,-2,1,5,4,2,0,0,-2,-2,-9,-9,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,1,0,0,1,1,-2,-2,0,-2,-2,1,35,2,1,1,3,4,3,1,5,1,0,-2,-2,-2,-2,-2,-2,3,0,3,1,0,0,0,0,-2,-2,0,0,0,-2,-2,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,385,769,769,384,0,19,88.0,-2,-2,0,0,-2,-2,101277.624,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2456,3,1,1,3,6,1,1,4,0,-2,-2,1,-2,1,1,1,70,70,70,0,-2,-2,0,0,1,6,1,1,0,3,1,1,4,-2,-2,-2,73,73,0,0,2,0,1,0,1,6,-2,41,2,0,-2,3,12,2,4,0,0,2,0,0,-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-2,-2,0,-2,-2,2,85,0,0,1,2,2,2,0,5,2,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,0,0,0,0,-2,-2,0,0,0,-2,-2,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,2102,2102,2102,650,650,0,85.5,-2,-2,0,0,-2,-2,64655.835999999996,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
2457,3,1,1,4,7,0,1,-2,0,-2,-2,1,-2,1,0,1,70,66,66,1,1,5,0,-2,0,-2,1,1,1,3,1,0,1,-2,-2,-2,75,72,0,-2,7,0,0,0,0,-2,-2,41,2,0,-2,2,12,3,3,4,0,3,1,0,-2,0,0,0,0,0,0,0,0,0,-2,1,0,1,0,0,1,-2,-2,-2,-9,-9,-9,1,78,0,0,1,2,1,1,0,5,2,0,-2,-2,-2,-2,-2,-2,3,1,3,0,0,0,0,0,-2,-2,0,0,0,-2,-2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,1416,1416,1416,0,0,123,92.4,-2,-2,0,-2,-2,-2,26077.602999999996,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
2458,3,2,0,4,7,0,1,-2,1,0,-2,1,-2,1,0,1,75,75,75,0,-2,-2,0,0,0,-2,1,1,0,1,1,0,1,-2,-2,-2,75,75,0,0,3,0,0,0,0,-2,-2,2,1,0,-2,2,5,2,0,0,1,2,0,0,-2,0,0,0,0,0,0,1,1,1,-2,1,0,1,1,0,1,-2,-2,-2,0,-2,-2,1,85,0,0,1,2,2,2,0,5,2,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,0,0,0,0,-2,-2,0,0,0,-2,-2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,1712,1712,1712,400,400,577,97.4,-2,-2,0,-2,-2,-2,29500.823,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
2459,3,2,0,3,6,0,1,-2,0,-2,-2,1,-2,1,1,4,65,58,60,1,2,7,0,0,1,4,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,1,0,0,1,6,-2,3,3,0,-2,2,7,2,4,4,0,1,1,-9,-9,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,-2,-2,1,0,-2,-2,1,59,2,0,1,4,2,2,0,5,3,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,0,0,0,0,-2,-2,0,0,0,-2,-2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1900,1900,2150,250,2,63.2,1,1,0,-2,1,-2,75898.091,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
